Category,Location Name,Address,Map Reference
"Emergency & First Aid","Emergency & First Aid","4 Link Road","P2"
"Emergency & First Aid","Security & Information","4 Link Road","P2"
"Emergency & First Aid","First Aid Room","18 Wally's Walk","N16"
"Emergency & First Aid","Service Connect","18 Wally's Walk","N16"
"Emergency & First Aid","Student Wellbeing","12 Second Way","P16"
"Administration","Access and Widening Participation","8 Sir Christopher Ondaatje Ave","P20"
"Administration","Admissions and Scholarships","18 Wally's Walk","N16"
"Administration","Archives & Records Management","19 Eastern Road","H20"
"Administration","Business Intelligence Reporting","18 Wally's Walk","N16"
"Administration","Campus Life","18 Wally's Walk","N16"
"Administration","Chancellery","19 Eastern Road","H20"
"Administration","Corporate Engagement & Advancement","18 Wally's Walk","N16"
"Administration","Financial Services","18 Wally's Walk","N16"
"Administration","Group Marketing","18 Wally's Walk","N16"
"Administration","Human Resources","18 Wally's Walk","N16"
"Administration","Information Technology","18 Wally's Walk","N16"
"Administration","Participation & Community Engagement","8 Sir Christopher Ondaatje Ave","P20"
"Administration","Property","18 Wally's Walk","N16"
"Administration","Tech Bar","18 Wally's Walk","N16"
"Faculty of Arts","Faculty Administration","25B Wally's Walk","O13"
"Faculty of Arts","Department of Critical Indigenous Studies","25B Wally's Walk","O13"
"Faculty of Arts","Department of History and Archaeology","25B Wally's Walk","O13"
"Faculty of Arts","Department of Media, Communication, Creative Arts, Language & Literature","10 Hadenfeld Avenue","R6"
"Faculty of Arts","Department of Philosophy","17 Wally's Walk","O19"
"Faculty of Arts","Department of Security Studies & Criminology","25B Wally's Walk","O13"
"Faculty of Arts","Macquarie Law School","17 Wally's Walk","O19"
"Faculty of Arts","Macquarie School of Education","25B Wally's Walk","O13"
"Faculty of Arts","Macquarie School of Social Sciences","25B Wally's Walk","O13"
"Faculty of Arts","Macquarie University Special Education Centre","14 First Walk","O10"
"Macquarie Business School","Faculty Administration","4 Eastern Road","Q22"
"Macquarie Business School","Department of Accounting & Corporate Governance","4 Eastern Road","Q22"
"Macquarie Business School","Department of Actuarial Studies & Business Analytics","4 Eastern Road","Q22"
"Macquarie Business School","Department of Economics","4 Eastern Road","Q22"
"Macquarie Business School","Department of Applied Finance","4 Eastern Road","Q22"
"Macquarie Business School","Department of Management","4 Eastern Road","Q22"
"Macquarie Business School","Department of Marketing","4 Eastern Road","Q22"
"Faculty of Medicine, Health & Human Sciences","Faculty Administration","75 Talavera Road","M28"
"Faculty of Medicine, Health & Human Sciences","Australian Institute of Health Innovation","75 Talavera Road","M28"
"Faculty of Medicine, Health & Human Sciences","Centre for Emotional Health","16 University Avenue","T14"
"Faculty of Medicine, Health & Human Sciences","Department of Chiropractic","75 Talavera Road","M28"
"Faculty of Medicine, Health & Human Sciences","Department of Health Sciences","75 Talavera Road","M28"
"Faculty of Medicine, Health & Human Sciences","Department of Linguistics","16 University Avenue","T14"
"Faculty of Medicine, Health & Human Sciences","Macquarie Medical School","75 Talavera Road","M28"
"Faculty of Medicine, Health & Human Sciences","Macquarie University Psychology Clinic","16 University Avenue","T14"
"Faculty of Medicine, Health & Human Sciences","Macquarie University Reading Clinic","16 University Avenue","T14"
"Faculty of Medicine, Health & Human Sciences","School of Psychological Sciences","16 University Avenue","T14"
"Faculty of Science & Engineering","Australian Astronomical Optics","9 Wally's Walk","O22"
"Faculty of Science & Engineering","Australian Proteome Analysis Facility","4 Wally's Walk","M24"
"Faculty of Science & Engineering","School of Engineering","9 Wally's Walk","O22"
"Faculty of Science & Engineering","School of Computing","4 Research Park Drive","O26"
"Faculty of Science & Engineering","School of Mathematical & Physical Sciences","12 Wally's Walk","N20"
"Faculty of Science & Engineering","School of Natural Sciences","6 Wally's Walk","M23"
"Venues","Ainsworth Building (Teaching)","1 Wally's Walk","N27"
"Venues","Graduation Venue","1 Central Courtyard","K18"
"Venues","Lighthouse Theatre (Performance)","11 Gymnasium Road","H14"
"Venues","Lotus Theatre (Teaching & Entertainment)","27 Wally's Walk","O11"
"Venues","Macquarie Theatre (Teaching & Entertainment)","21 Wally's Walk","O15"
"Venues","Michael Kirby Law Building (Teaching)","17 Wally's Walk","O19"
"Venues","Price Theatre (Teaching)","23 Wally's Walk","O14"
"Art Gallery & Museums","Art Gallery","19 Eastern Road","H20"
"Art Gallery & Museums","Biology Discovery Centre","6 Science Road","L23"
"Art Gallery & Museums","Herbarium","6 Wally's Walk","M23"
"Art Gallery & Museums","Lachlan Macquarie Room","16 Macquarie Walk","Q17"
"Art Gallery & Museums","Sporting Hall of Fame Museum","10 Gymnasium Road","J12"
"Art Gallery & Museums","The Gale History Museum","25C Wally's Walk","O13"
"Food, Beverage & Retail","Crunch Café","10 Gymnasium Road","J12"
"Food, Beverage & Retail","Cult Eatery","25B Wally's Walk","O13"
"Food, Beverage & Retail","Esc Café","4 Research Park Drive","O26"
"Food, Beverage & Retail","Lachlan's Restaurant","1 Executive Road","E23"
"Food, Beverage & Retail","Library Café","16 Macquarie Walk","Q17"
"Food, Beverage & Retail","UBar","1 Central Courtyard","K18"
"Food, Beverage & Retail","Wally's Coffee and Toasties","18 Wally's Walk","N15"
"MQ Health","GP & Physiotherapy Clinics","2 Technology Place","K26"
"MQ Health","Hospital","3 Technology Place","L27"
"MQ Health","Macquarie Medical Imaging (MMI)","3 Technology Place","L27"
"MQ Health","Pharmacy (Hospital)","3 Technology Place","L27"
"MQ Health","Specialist Clinics","2 Technology Place","K26"
"MQ Health","Speech & Hearing Clinic","16 University Avenue","T14"
"MQ Health","Woolcock Institute of Medical Research","2 Innovation Road","O30"
"Other Services","Chaplaincy","10 Hadenfeld Avenue","R6"
"Other Services","Childcare (Banksia Cottage)","8 Link Road","P8"
"Other Services","Childcare (Gumnut Cottage)","17 University Avenue","V15"
"Other Services","Childcare (Mia Mia)","29 Wally's Walk","N11"
"Other Services","Childcare (Waratah)","11 University Avenue","W17"
"Other Services","Chiropractic Clinic","75 Talavera Road","M28"
"Other Services","Future Students","8 Sir Christopher Ondaatje Ave","P20"
"Other Services","Graduate Research Academy","16 Wally's Walk","N18"
"Other Services","Graduation Unit","12 Second Way","P16"
"Other Services","Library (Waranara Library)","16 Macquarie Walk","Q17"
"Other Services","Macquarie University College","8 Sir Christopher Ondaatje Ave","P20"
"Other Services","Macquarie University Incubator","8 Hadenfeld Avenue","S8"
"Other Services","METS (Macquarie Engineering Technical Services)","3 Science Road","K24"
"Other Services","Mindspot","75 Talavera Road","M28"
"Other Services","MQ Academy","8 Sir Christopher Ondaatje Ave","P20"
"Other Services","Observatory (Astronomy)","5 Gymnasium Road","C12"
"Other Services","Office of Commercialisation and Innovation","16 Wally's Walk","N18"
"Other Services","Prayer Room","8 Sir Christopher Ondaatje Ave","P20"
"Other Services","Research Services","16 Wally's Walk","N18"
"Other Services","Sport & Aquatic Centre","10 Gymnasium Road","J12"
"Other Services","Student Engagement","12 Second Way","P16"
"Other Services","Student Services","18 Wally's Walk","N16"
"Other Services","Walanga Muru","29 Wally's Walk","N11"
"Other Locations","Dunmore Lang College","130 Herring Road","W25"
"Other Locations","IELTS / PTE Test Centre","8 Sir Christopher Ondaatje Ave","P20"
"Other Locations","Macquarie University Village","122 Culloden Road","F7"
"Other Locations","NextSense Centre of Excellence","2 Gymnasium Road","F9"
"Other Locations","NextSense School","131 Culloden Road","G7"
"Other Locations","Robert Menzies College","136 Herring Road","V26"
"Other Locations","Sports Fields & Tennis Centre","Corner Talavera & Culloden Roads",""
"Other Locations","Student Accommodation","15-17 Gymnasium Road","K16"